,PLAYER,Mat,Inns,NO,2018_Runs,HS,Avg,BF,SR,100,50,4s,6s,2019_Runs
23,David Miller,3,3,1,74,26,37,64,115.62,0,0,3,2,70
24,Deepak Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,4,37
25,Deepak Hooda,9,8,4,87,32*,21.75,81,107.4,0,0,2,3,84
26,Dinesh Karthik,16,16,6,498,52,49.8,337,147.77,0,2,49,16,463
27,Dwayne Bravo,16,10,6,141,68,35.25,91,154.94,0,1,8,10,162
28,Evin Lewis,13,13,0,382,65,29.38,276,138.4,0,2,32,24,398
29,Faf du Plessis,6,6,1,162,67*,32.4,129,125.58,0,1,17,6,180
30,Gautam Gambhir,6,5,0,85,55,17,88,96.59,0,1,8,1,81
31,Glenn Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,14,9,183
32,Harbhajan Singh,13,3,0,29,19,9.66,36,80.55,0,0,3,1,18
33,Hardik Pandya,13,13,4,260,50,28.88,195,133.33,0,1,20,11,311
34,Harshal Patel,5,2,1,60,36*,60,33,181.81,0,0,1,6,61
35,Heinrich Klaasen,4,4,1,57,32,19,47,121.27,0,0,5,1,46
36,Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,22,17,319
37,Jason Roy,5,5,1,120,91*,30,94,127.65,0,1,9,7,106
38,Jaydev Unadkat,15,7,3,49,26,12.25,38,128.94,0,0,6,1,32
39,Jofra Archer,10,8,3,15,8,3,21,71.42,0,0,2,0,9
40,Jos Buttler,13,13,3,548,95*,54.8,353,155.24,0,5,52,21,490
41,JP Duminy,6,4,3,36,23,36,40,90.0,0,0,3,1,20
42,Kane Williamson,17,17,3,735,84,52.5,516,142.44,0,8,64,28,692
43,Karun Nair,13,12,0,301,54,25.08,221,136.19,0,2,23,13,344
44,Kedar Jadhav,1,1,1,24,24*,-,22,109.09,0,0,1,2,15
45,Kieron Pollard,9,8,1,133,50,19,100,133.0,0,1,10,7,156
46,KL Rahul,14,14,2,659,95*,54.91,416,158.41,0,6,66,32,529
47,Krishnappa Gowtham,15,13,4,126,33*,14,64,196.87,0,0,9,9,123
48,Krunal Pandya,14,13,3,228,41*,22.8,157,145.22,0,0,22,10,253
49,Mahipal Lomror,2,2,1,20,11,20,21,95.23,0,0,1,0,12
50,Manan Vohra,4,4,0,55,45,13.75,47,117.02,0,0,2,4,42
51,Mandeep Singh,14,13,3,252,47*,25.2,186,135.48,0,0,16,11,282
52,Manish Pandey,15,13,2,284,62*,25.81,246,115.44,0,3,22,5,332
53,Manoj Tiwary,5,4,1,47,35,15.66,44,106.81,0,0,4,1,26
54,Marcus Stoinis,7,7,3,99,29*,24.75,76,130.26,0,0,6,4,95
55,Mayank Agarwal,11,11,1,120,30,12,94,127.65,0,0,9,5,110
56,Mayank Markande,14,6,4,21,7*,10.5,24,87.5,0,0,2,0,14
57,Mitchell Johnson,6,2,2,16,12*,-,11,145.45,0,0,2,0,11
58,Moeen Ali,5,4,0,77,65,19.25,46,167.39,0,1,4,6,73
59,Mohammad Nabi,2,2,0,18,14,9,12,150.0,0,0,3,0,12
60,Mohammed Siraj,11,4,2,25,14,12.5,22,113.63,0,0,2,1,15
61,MS Dhoni,16,15,9,455,79*,75.83,302,150.66,0,3,24,30,416
62,Nitish Rana,15,15,2,304,59,23.38,232,131.03,0,1,26,14,344
63,Parthiv Patel,6,6,1,153,53,30.6,109,140.36,0,1,20,4,168
64,Piyush Chawla,15,7,3,27,12,6.75,34,79.41,0,0,1,1,18
65,Prithvi Shaw,9,9,0,245,65,27.22,160,153.12,0,2,27,10,282
66,Quinton de Kock,8,8,0,201,53,25.12,162,124.07,0,1,20,8,211
67,Rahul Tewatia,8,5,2,50,24,16.66,43,116.27,0,0,5,1,34
68,Rahul Tripathi,12,12,3,226,80*,25.11,167,135.32,0,1,18,8,244
69,Rashid Khan,17,7,2,59,34*,11.8,31,190.32,0,0,3,6,48
70,Ravichandran Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,7,5,98
71,Ravindra Jadeja,16,10,5,89,27*,17.8,74,120.27,0,0,3,4,86
72,Rinku Singh,4,4,0,29,16,7.25,31,93.54,0,0,4,0,18
73,Rishabh Pant,14,14,1,684,128*,52.61,394,173.6,1,5,68,37,593
74,Robin Uthappa,16,16,0,351,54,21.93,265,132.45,0,1,30,21,373
75,Rohit Sharma,14,14,2,286,94,23.83,215,133.02,0,2,25,12,342
76,Sam Billings,10,8,0,108,56,13.5,78,138.46,0,1,8,5,98
77,Sanju Samson,15,15,1,441,92*,31.5,320,137.81,0,3,30,19,405
78,Sarfaraz Khan,7,6,1,51,22*,10.2,41,124.39,0,0,7,1,40
79,Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,26,5,279
80,Shane Watson,15,15,1,555,117*,39.64,359,154.59,2,2,44,35,510
81,Shardul Thakur,13,1,1,15,15*,-,5,300.0,0,0,3,0,10
82,Shikhar Dhawan,16,16,3,497,92*,38.23,363,136.91,0,4,59,14,445
83,Shivam Mavi,9,4,1,13,7,4.33,15,86.66,0,0,1,0,9
84,Shreevats Goswami,6,3,0,52,35,17.33,40,130.0,0,0,6,1,40
85,Shreyas Gopal,11,4,1,50,24,16.66,45,111.11,0,0,5,0,32
86,Shreyas Iyer,14,14,3,411,93*,37.36,310,132.58,0,4,29,21,402
87,Shubman Gill,13,11,5,203,57*,33.83,139,146.04,0,1,22,5,213
88,Stuart Binny,7,5,0,44,22,8.8,39,112.82,0,0,2,2,21
89,Sunil Narine,16,16,0,357,75,22.31,188,189.89,0,2,40,23,383
90,Suresh Raina,15,15,3,445,75*,37.08,336,132.44,0,4,46,12,405
91,Suryakumar Yadav,14,14,0,512,72,36.57,384,133.33,0,4,61,16,464
92,Tim Southee,8,4,2,52,36*,26,46,113.04,0,0,5,1,42
93,Tom Curran,5,4,1,23,18,7.66,28,82.14,0,0,3,0,14
94,Vijay Shankar,13,11,7,212,54*,53,148,143.24,0,1,11,11,220
95,Virat Kohli,14,14,3,530,92*,48.18,381,139.1,0,4,52,18,488
96,Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,5,4,64
97,Wriddhiman Saha,11,10,2,122,35,15.25,102,119.6,0,0,17,1,115
98,Yusuf Pathan,15,13,4,260,45*,28.88,200,130.0,0,0,22,11,296
99,Yuvraj Singh,8,6,0,65,20,10.83,73,89.04,0,0,6,2,67
